open_time,pair,base,quote,binance_open,binance_high,binance_low,binance_close,binance_volume,coinbase_open,coinbase_high,coinbase_low,coinbase_close,coinbase_volume,best_exchange,profit,profit_percentage
2025-08-08 00:00:00,BTC-USDT,BTC,USDT,117472.02000000,117489.53000000,117385.22000000,117385.23000000,18.08472000,117489.479999999995925,117490.029999999998836,117400.539999999993597,117400.539999999993597,0.54566524,coinbase,15.31000000,0.01
2025-08-08 00:01:00,BTC-USDT,BTC,USDT,117385.23000000,117433.05000000,117385.22000000,117412.91000000,14.09166000,117400.539999999993597,117400.539999999993597,117400.539999999993597,117400.539999999993597,0.0,binance,12.37000000,0.01
2025-08-08 00:02:00,BTC-USDT,BTC,USDT,117412.91000000,117422.00000000,117412.90000000,117422.00000000,2.70168000,117427.479999999995925,117428.30000000000291,117427.479999999995925,117428.30000000000291,0.03128986,coinbase,6.30000000,0.01
2025-08-08 00:03:00,BTC-USDT,BTC,USDT,117422.00000000,117433.05000000,117421.99000000,117433.04000000,6.28769000,117428.30000000000291,117428.30000000000291,117428.30000000000291,117428.30000000000291,0.0,binance,4.74000000,0.00
2025-08-08 00:04:00,BTC-USDT,BTC,USDT,117433.05000000,117452.00000000,117420.00000000,117420.01000000,7.29879000,117428.30000000000291,117428.30000000000291,117428.30000000000291,117428.30000000000291,0.0,coinbase,8.29000000,0.01
2025-08-08 00:05:00,BTC-USDT,BTC,USDT,117420.01000000,117434.44000000,117292.02000000,117352.22000000,17.23507000,117343.080000000001746,117403.220000000001164,117318.710000000006403,117403.220000000001164,0.02769807,coinbase,51.00000000,0.04
2025-08-08 00:06:00,BTC-USDT,BTC,USDT,117352.23000000,117375.41000000,117346.84000000,117346.84000000,4.16513000,117384.110000000000582,117384.110000000000582,117359.910000000003492,117359.910000000003492,0.04042501,coinbase,13.07000000,0.01
2025-08-08 00:07:00,BTC-USDT,BTC,USDT,117346.84000000,117391.08000000,117336.29000000,117391.08000000,8.00370000,117378.830000000001746,117390.580000000001746,117362.529999999998836,117362.529999999998836,0.03317423,binance,28.55000000,0.02
2025-08-08 00:08:00,BTC-USDT,BTC,USDT,117391.07000000,117391.08000000,117360.00000000,117360.01000000,6.55522000,117362.529999999998836,117362.529999999998836,117362.529999999998836,117362.529999999998836,0.0,coinbase,2.52000000,0.00
2025-08-08 00:09:00,BTC-USDT,BTC,USDT,117360.00000000,117360.00000000,117300.00000000,117300.01000000,3.96148000,117339.389999999999418,117339.389999999999418,117320.839999999996508,117324.479999999995925,0.06364313,coinbase,24.47000000,0.02
